#{"t_start": 1780588930.0481775, "env_id": "None"}
r,l,t
0.9575,5,0.008308
-0.0125,1,0.008778
0.845,14,0.010066
0.9075,8,0.010854
0.9225,9,0.013185
0.9,10,0.014054
0.9575,3,0.014442
-0.025,3,0.014738
-0.0075,2,0.016381
0.815,16,0.017885
0.825,18,0.019486
0.975,3,0.019807
-0.07,8,0.022633
0.7775,23,0.025289
0.945,5,0.026403
0.9075,8,0.027256
0.9825,3,0.028912
0.9625,5,0.029412
-0.06,7,0.030098
-0.03,3,0.030405
0.9775,3,0.031837
-0.0225,2,0.032176
0.9075,9,0.033223
0.905,10,0.033963
-0.025,3,0.035201
0.8425,17,0.037319
0.9075,8,0.038051
-0.0175,1,0.038183
0.4625,55,0.04492
0.9325,5,0.04548
-0.01,1,0.045637
0.8125,20,0.047606
0.875,13,0.050142
0.935,7,0.050604
-0.0225,3,0.050923
-0.16,14,0.052292
-0.005,3,0.054109
0.98,2,0.054708
0.975,2,0.055154
-0.055,5,0.055781
0.965,4,0.057714
0.975,3,0.058168
-0.015,1,0.058322
-0.005,1,0.058463
0.9525,3,0.059734
0.895,10,0.060798
0.955,4,0.061188
0.6525,36,0.06427
0.945,4,0.066422
0.955,4,0.066755
-0.0075,1,0.066834
0.9825,1,0.066907
0.0,1,0.067775
-0.025,4,0.068606
0.845,15,0.070045
-0.2425,23,0.072079
0.815,18,0.075356
-0.09,11,0.07659
0.99,1,0.076752
0.0,1,0.0769
0.715,28,0.0805
0.72,26,0.082749
0.9675,5,0.083239
-0.0325,5,0.083723
0.985,1,0.085102
0.8925,9,0.086014
0.9875,1,0.08617
0.945,5,0.087044
-0.025,2,0.088596
0.8425,20,0.091094
0.86,12,0.092124
0.9575,4,0.09241
0.805,18,0.096006
-0.09,12,0.097144
0.95,5,0.097694
0.9075,8,0.098423
0.9825,1,0.099407
-0.01,1,0.09991
-0.3375,33,0.102663
0.915,6,0.10329
0.8675,10,0.1061
0.9575,5,0.10652
0.98,2,0.106689
-0.01,1,0.106834
0.75,22,0.109893
0.98,2,0.110512
0.8825,11,0.111573
0.865,12,0.11277
0.9175,7,0.114868
0.965,3,0.11522
-0.01,2,0.115443
0.9125,7,0.116095
0.8875,11,0.118618
-0.0125,1,0.118885
-0.0575,7,0.119809
0.9375,8,0.120528
-0.125,12,0.123225
0.905,8,0.12399
-0.0025,1,0.124168
-0.0625,8,0.124876
0.9825,2,0.126318
-0.15,20,0.128068
-0.05,5,0.128542
0.885,11,0.129519
-0.07,6,0.131585
0.9625,6,0.132162
-0.1275,13,0.133327
0.99,3,0.133635
0.7775,23,0.137857
-0.035,3,0.138281
0.9575,4,0.138696
0.985,1,0.138852
-0.255,26,0.142943
0.965,4,0.143426
0.8575,15,0.144952
-0.025,2,0.1452
0.89,13,0.148094
0.905,9,0.149267
0.96,4,0.149839
-0.1625,14,0.156517
0.9875,1,0.158125
0.9725,3,0.159176
0.5125,52,0.175667
0.95,5,0.176281
-0.515,51,0.196653
-0.015,3,0.197793
0.9,9,0.198775
0.9175,7,0.204204
0.975,2,0.206967
0.69,27,0.218112
0.915,10,0.219415
0.0,1,0.21964
0.79,21,0.23224
0.87,10,0.233596
-0.2825,26,0.242657
-0.015,2,0.243023
-0.0125,2,0.245235
0.92,5,0.245927
-0.06,6,0.2507
0.8975,11,0.252046
0.9875,3,0.257881
0.965,4,0.258624
0.915,7,0.259362
-0.1125,10,0.264776
0.9825,4,0.267311
0.98,3,0.267814
0.935,6,0.273022
0.945,6,0.273784
-0.0225,4,0.275742
-0.0125,1,0.275973
0.8175,16,0.281972
0.93,8,0.28639
0.835,14,0.294174
-0.1175,12,0.29888
0.9925,2,0.299338
-0.4225,38,0.310885
-0.0075,2,0.312818
-0.0225,3,0.313323
0.8675,14,0.31925
-0.0125,1,0.319674
0.94,4,0.326319
-0.055,6,0.327203
0.86,13,0.33186
0.9025,11,0.333321
0.8675,15,0.341048
0.9525,4,0.345104
-0.105,14,0.346666
0.84,20,0.355347
0.795,22,0.363224
0.985,2,0.36369
-0.0225,3,0.364061
0.955,6,0.368143
-0.125,14,0.376149
0.985,2,0.376542
0.8525,12,0.381652
0.86,13,0.383335
0.9475,8,0.390676
0.95,6,0.391483
-0.135,13,0.396412
0.95,5,0.397026
0.775,20,0.408458
-0.005,1,0.408863
0.9675,3,0.409312
0.8,22,0.415055
0.885,11,0.422041
0.9325,5,0.422717
0.8925,10,0.427041
-0.055,7,0.427683
0.985,1,0.429602
0.9475,5,0.435298
0.75,23,0.441413
0.925,6,0.442161
0.8675,10,0.448747
-0.11,13,0.453809
0.935,5,0.454453
0.985,2,0.454764
-0.01,1,0.456349
0.9775,2,0.460756
-0.0825,8,0.46192
0.98,3,0.462425
0.935,5,0.469144
0.9075,10,0.470722
0.8725,13,0.475624
-0.0075,2,0.475968
-0.2725,30,0.488829
-0.0575,6,0.489574
0.95,6,0.493678
0.95,5,0.494318
0.965,3,0.496032
0.955,6,0.501116
0.8975,8,0.502506
0.7825,26,0.511319
0.9725,3,0.513646
-0.085,7,0.514654
-0.1475,16,0.520884
0.885,12,0.525767
0.99,1,0.527759
-0.0775,7,0.53355
0.91,10,0.534946
0.885,12,0.539995
-0.01,1,0.541708
-0.1475,13,0.547933
-0.055,5,0.548832
0.9275,8,0.553473
-0.03,3,0.555556
-0.02,2,0.555928
-0.0475,6,0.556589
0.705,29,0.568261
-0.0075,1,0.56989
0.9525,4,0.570549
-0.085,7,0.575857
0.76,20,0.58127
-0.1075,9,0.588581
0.945,5,0.589281
0.975,3,0.589664
0.8775,14,0.595647
0.87,12,0.60358
-0.085,9,0.604604
0.895,9,0.60994
0.77,21,0.615512
0.9425,5,0.622648
0.9075,8,0.623567
0.84,15,0.628887
0.8975,7,0.629705
0.98,2,0.635173
0.9575,5,0.635884
-0.005,1,0.63633
0.9675,4,0.637114
0.965,4,0.639811
-0.345,38,0.655724
0.955,4,0.656761
0.94,5,0.65741
-0.01,2,0.663681
0.93,8,0.664917
0.9675,3,0.665385
0.75,27,0.676374
-0.1925,18,0.686498
0.855,15,0.692054
0.7775,28,0.702404
-0.07,9,0.703421
0.885,12,0.711476
0.7125,28,0.723545
0.9875,1,0.72391
0.9625,2,0.724205
-0.0475,4,0.726057
-0.1625,16,0.732087
0.905,12,0.738087
-0.02,2,0.738593
0.8425,16,0.747013
-0.03,6,0.747853
-0.0475,3,0.752114
-0.1225,12,0.753408
0.77,30,0.766359
0.975,3,0.766888
0.8525,18,0.776222
0.9575,3,0.776762
-0.055,6,0.778805
0.905,11,0.784483
-0.0925,7,0.785363
0.96,4,0.789288
0.95,3,0.791461
0.73,26,0.798632
-0.095,8,0.803141
-0.02,1,0.803493
-0.155,15,0.810642
0.9575,4,0.81177
0.955,3,0.812248
0.98,2,0.812481
-0.015,1,0.814535
0.8825,9,0.820423
-0.015,1,0.820716
0.87,11,0.825865
-0.035,2,0.827921
0.8675,16,0.834137
0.925,7,0.835005
0.885,10,0.84003
0.995,1,0.841653
-0.1275,11,0.847913
0.7125,24,0.853649
0.885,13,0.85901
0.0,1,0.860626
-0.0025,1,0.861181
-0.0175,3,0.861838
0.8725,13,0.867866
0.8925,10,0.874558
-0.225,23,0.88052
0.9925,1,0.88089
-0.18,19,0.885551
-0.0075,1,0.89159
0.9275,6,0.892657
0.9975,1,0.892925
-0.0625,6,0.893574
0.7825,19,0.906044
0.98,1,0.906406
0.8925,10,0.907485
0.8175,15,0.912824
0.98,1,0.914436
0.91,9,0.91995
0.9775,2,0.920473
0.9825,2,0.921097
-0.0225,3,0.923475
0.865,14,0.929104
0.9625,3,0.929566
0.9975,1,0.929747
0.9775,2,0.931419
0.8825,11,0.937558
0.8125,19,0.943863
0.92,11,0.949
0.9825,1,0.950942
-0.19,19,0.957948
-0.2175,20,0.96688
-0.0275,3,0.96743
0.955,4,0.969632
0.97,2,0.970017
0.755,26,0.98044
0.935,6,0.9815
0.57,41,0.998041
-0.0625,6,0.99881
0.93,5,0.999371
-0.02,2,0.999635
-0.2925,32,1.01249
0.9675,3,1.017136
0.8075,21,1.023974
-0.015,1,1.024248
0.8875,12,1.032716
0.9175,7,1.033726
-0.11,12,1.039158
0.8625,13,1.043955
0.93,5,1.046176
0.99,1,1.04646
0.86,15,1.052547
0.9025,11,1.057035
0.9825,1,1.058823
-0.035,4,1.059727
0.91,9,1.064646
-0.0225,3,1.064932
0.975,2,1.066932
-0.145,14,1.074106
0.995,1,1.07448
0.8325,13,1.07883
-0.09,8,1.081268
0.9275,8,1.086411
0.9525,5,1.087322
-0.035,3,1.087769
-0.0575,7,1.093997
-0.295,30,1.104895
0.81,24,1.11062
0.79,24,1.120117
0.9875,1,1.121808
-0.02,2,1.122212
0.92,8,1.123039
-0.045,4,1.123802
0.97,3,1.130577
-0.1225,11,1.132254
0.905,10,1.137228
0.9875,1,1.137495
-0.13,9,1.144272
-0.0175,2,1.14472
0.945,5,1.145328
-0.0175,1,1.145647
0.9725,3,1.147789
-0.08,7,1.153335
-0.01,1,1.153731
0.895,12,1.15999
-0.1625,16,1.168432
0.99,2,1.169077
-0.0625,7,1.170069
-0.0025,1,1.170264
0.94,5,1.172616
0.82,19,1.183649
0.905,9,1.185021
0.9825,2,1.18538
0.935,6,1.19302
0.0,1,1.193375
-0.145,14,1.199913
-0.18,19,1.206387
0.9825,1,1.208433
0.78,27,1.219895
0.965,4,1.220546
-0.13,13,1.226194
0.8075,17,1.232928
0.9825,1,1.233229
0.7,32,1.245457
-0.015,1,1.245862
-0.015,3,1.248021
-0.005,1,1.248219
0.81,18,1.254164
0.8875,9,1.259799
0.745,24,1.268294
0.7775,22,1.278571
-0.0925,11,1.279808
0.985,1,1.280022
0.9825,1,1.281945
-0.4875,45,1.297947
0.985,1,1.29823
0.9575,4,1.302218
-0.285,31,1.316428
0.93,8,1.317275
0.955,6,1.31807
0.9425,7,1.32268
0.785,24,1.331654
-0.0175,2,1.33204
0.8975,8,1.336774
0.845,15,1.341725
0.9875,1,1.343711
0.89,13,1.349734
-0.04,5,1.350409
0.9425,7,1.354762
0.8925,12,1.358455
-0.005,1,1.358769
-0.1325,13,1.364934
0.8775,10,1.369612
-0.23,24,1.378829
-0.28,24,1.388363
0.99,1,1.388636
0.775,22,1.394373
0.825,19,1.403308
0.9025,11,1.40851
0.9625,4,1.408986
0.9625,5,1.413111
0.9725,4,1.415382
0.965,4,1.415986
-0.005,1,1.416165
0.96,5,1.420817
0.8375,18,1.429
0.6875,30,1.43963
0.945,3,1.440275
0.865,13,1.444978
0.8925,15,1.447778
0.9225,6,1.452727
0.8825,11,1.457469
0.9225,6,1.458486
0.9525,6,1.460832
-0.0475,5,1.465576
0.945,5,1.466731
-0.1425,17,1.472745
-0.015,2,1.474707
-0.02,2,1.475405
0.6975,33,1.486977
0.9575,4,1.490982
0.83,15,1.494571
0.91,12,1.499683
0.835,20,1.505579
0.8175,16,1.510866
-0.02,2,1.517126
0.9725,2,1.517567
0.9925,1,1.517764
0.975,2,1.518121
0.815,18,1.526248
0.9825,2,1.526847
0.9125,8,1.531428
-0.1825,19,1.537352
-0.0275,4,1.539658
-0.2,21,1.545798
0.77,20,1.555781
0.75,27,1.561814
0.7075,28,1.57435
0.7575,21,1.580202
-0.0175,2,1.583904
0.935,9,1.584856
-0.2725,25,1.598169
0.32,65,1.618883
0.9825,3,1.619396
0.865,14,1.623918
0.9125,9,1.626702
-0.1225,13,1.63246
0.9625,5,1.633101
-0.0025,2,1.636955
-0.0775,6,1.639156
0.9375,8,1.639709
-0.01,1,1.643896
-0.1475,13,1.645721
-0.0125,3,1.652306
-0.1725,20,1.659598
0.95,5,1.660267
-0.3175,34,1.670796
0.8875,11,1.678601
0.985,4,1.679131
-0.5025,50,1.69701
0.9425,6,1.701738
0.91,9,1.704358
0.9975,1,1.704711
0.8925,13,1.710917
0.9025,9,1.715932
-0.0875,8,1.718851
-0.005,1,1.719179
0.91,9,1.72457
0.955,3,1.725177
-0.0475,6,1.727874
-0.04,3,1.73255
0.75,22,1.740056
0.98,2,1.740439
0.985,2,1.742146
0.8175,17,1.748892
0.98,2,1.749308
0.535,45,1.764366
0.94,5,1.766378
0.91,9,1.772619
0.9375,5,1.773323
-0.1075,11,1.778216
0.92,6,1.78043
-0.16,16,1.786933
0.8125,18,1.796316
0.895,9,1.797915
-0.185,14,1.806004
0.9525,5,1.806668
0.915,8,1.810961
0.96,4,1.811487
-0.035,3,1.813435
-0.1225,11,1.819796
-0.045,8,1.821682
0.9075,10,1.826806
-0.6125,62,1.850915
-0.14,15,1.856405
0.89,13,1.861274
0.94,7,1.862124
-0.1425,14,1.869845
0.96,4,1.870614
-0.1275,13,1.875761
0.8775,15,1.881496
-0.0175,1,1.883417
-0.11,11,1.889151
0.9825,1,1.889455
0.8425,16,1.8958
0.8375,16,1.903759
-0.31,29,1.915119
0.8275,18,1.920422
0.9775,3,1.921248
-0.28,25,1.930266
0.9525,6,1.934474
0.9575,4,1.935026
-0.0125,1,1.935212
0.7925,19,1.943314
0.815,19,1.95259
0.56,42,1.964321
0.8425,14,1.968931
-0.025,3,1.971713
-0.245,26,1.982584
0.0,2,1.983268
0.895,11,1.989555
-0.005,2,1.991682
0.9475,5,1.99234
0.8125,19,1.999722
-0.1575,15,2.005917
0.9725,2,2.008078
0.8875,11,2.014129
-0.0675,7,2.014857
0.9825,1,2.019253
-0.015,1,2.021217
-0.0725,6,2.022099
0.9575,4,2.022811
0.8375,17,2.029336
0.81,22,2.043448
0.9125,10,2.044825
0.96,4,2.049368
0.7425,23,2.056001
-0.26,30,2.070463
0.865,15,2.075568
0.685,31,2.085629
0.9075,8,2.087463
0.9925,1,2.088983
-0.0025,1,2.089246
0.99,1,2.089435
0.9475,5,2.094115
-0.1,11,2.097775
0.9575,3,2.102633
0.8525,15,2.107445
0.88,14,2.109079
0.91,10,2.116889
0.9,14,2.122263
0.8775,15,2.127973
0.8375,17,2.134076
-0.0725,6,2.136811
0.4975,51,2.15317
0.9275,6,2.156976
0.9725,4,2.157518
-0.0625,6,2.160369
0.9575,4,2.165134
0.915,7,2.166072
0.895,8,2.170262
0.8325,18,2.178418
0.9525,5,2.178941
-0.1875,16,2.18382
0.9925,1,2.184064
-0.0225,4,2.18675
0.9025,7,2.192809
0.875,11,2.197946
0.985,2,2.198407
0.9175,8,2.200727
0.9375,6,2.206285
-0.1075,11,2.207727
0.935,7,2.212547
0.9025,10,2.215599
0.735,25,2.227995
-0.0375,5,2.228762
0.965,3,2.229169
0.59,40,2.246845
0.89,11,2.251149
0.8425,17,2.257451
0.9725,2,2.257788
0.98,2,2.259376
0.845,14,2.265387
-0.0175,2,2.265913
0.8775,14,2.271553
-0.01,1,2.273749
-0.14,18,2.280844
-0.125,14,2.286273
-0.08,9,2.287379
0.9925,1,2.288841
0.9575,7,2.294789
0.955,5,2.295498
0.9525,4,2.296066
0.98,2,2.302215
0.9,8,2.303705
0.65,34,2.314421
-0.005,2,2.314911
-0.1,10,2.322391
-0.0625,8,2.324026
-0.1825,18,2.333328
0.995,1,2.333719
0.785,21,2.342142
-0.015,1,2.342456
-0.1425,19,2.348775
0.965,4,2.349748
-0.0125,1,2.351456
0.6975,30,2.363069
0.9875,3,2.367254
0.9775,4,2.367908
-0.19,17,2.376905
0.9525,5,2.377595
0.965,5,2.378542
0.84,16,2.384861
0.9075,9,2.392318
0.6625,32,2.403219
-0.095,11,2.408111
0.9675,2,2.408482
-0.1775,18,2.416438
0.975,3,2.41696
0.97,3,2.417375
-0.055,4,2.421209
0.945,6,2.423609
0.9125,12,2.429778
-0.2025,17,2.435593
0.935,7,2.43645
0.825,20,2.444453
0.9625,4,2.449092
0.91,15,2.454123
-0.265,21,2.460268
0.8725,17,2.468393
0.9725,6,2.469136
0.9875,2,2.473699
0.7875,21,2.479484
0.9525,5,2.482291
-0.0175,2,2.482743
0.7675,25,2.493713
0.82,18,2.498767
0.9575,5,2.501323
0.96,4,2.50664
0.8775,15,2.508642
0.9125,7,2.513246
0.92,8,2.516034
0.91,8,2.521694
0.985,1,2.52198
-0.0275,2,2.52231
-0.0725,10,2.530315
-0.15,13,2.535463
-0.095,9,2.536845
-0.1575,18,2.542665
0.95,6,2.549774
-0.1575,15,2.55621
-0.0025,2,2.556727
-0.1225,11,2.557889
0.94,5,2.56436
-0.065,7,2.565259
0.965,4,2.565743
-0.0175,2,2.56601
0.8925,11,2.573388
0.9625,4,2.574268
0.905,8,2.579174
0.955,5,2.579675
0.925,11,2.587236
0.895,12,2.592072
-0.0275,3,2.592558
0.6425,32,2.603923
-0.12,15,2.611646
0.9475,7,2.612337
1.0,1,2.612488
0.0,2,2.612691
0.955,3,2.618895
-0.0075,1,2.619336
0.9575,4,2.619761
0.0,1,2.619936
-0.2825,29,2.633674
0.895,11,2.63534
0.695,27,2.644769
-0.07,8,2.64969
0.9875,2,2.651585
-0.07,6,2.652521
0.825,16,2.659015
0.755,22,2.668486
0.9,9,2.672061
0.945,5,2.673462
-0.05,5,2.678154
0.54,47,2.69397
0.89,12,2.696336
-0.075,6,2.701833
-0.0225,3,2.702327
0.99,1,2.702515
-0.025,2,2.704248
0.9825,2,2.704604
-0.0325,3,2.704975
0.99,1,2.709442
-0.25,25,2.719078
-0.0225,3,2.71958
0.98,2,2.71987
-0.0825,9,2.724274
0.7975,17,2.73209
0.97,4,2.732665
0.9875,3,2.733095
-0.0275,2,2.736982
-0.015,1,2.738534
0.9325,5,2.739509
0.9975,1,2.739821
0.9225,10,2.746426
-0.07,10,2.749787
-0.05,6,2.754588
-0.15,15,2.761412
0.97,2,2.761989
-0.1575,16,2.770398
0.9825,2,2.770804
-0.0625,6,2.771952
0.9575,3,2.772477
0.94,7,2.780521
0.96,6,2.781296
-0.125,17,2.786568
-0.015,3,2.787001
0.65,37,2.805364
0.99,1,2.805734
0.8725,11,2.810488
-0.1825,17,2.815498
-0.075,8,2.818338
-0.0725,6,2.819598
-0.0325,4,2.824438
0.9725,4,2.825017
-0.1125,11,2.832378
0.965,4,2.832979
-0.045,7,2.833745
0.935,5,2.838275
-0.0025,1,2.839783
-0.0125,3,2.840604
-0.1725,14,2.846589
-0.015,1,2.84697
-0.08,6,2.84935
0.7975,18,2.856535
0.7975,17,2.862162
0.8525,13,2.867231
-0.32,37,2.884579
-0.0375,3,2.885186
-0.0075,1,2.885442
0.8625,18,2.890475
0.8675,11,2.897717
0.7875,22,2.904838
0.99,1,2.905116
0.9425,4,2.905644
-0.055,9,2.913314
0.8875,11,2.919003
0.995,2,2.919527
-0.0125,2,2.9199
0.9925,3,2.922111
-0.2325,25,2.933369
-0.045,4,2.934008
0.92,9,2.935268
-0.0125,2,2.937232
0.97,3,2.942346
-0.04,4,2.942867
-0.02,2,2.943114
0.95,5,2.945259
-0.03,5,2.950154
-0.07,9,2.951413
0.955,4,2.951914
-0.0575,5,2.958415
-0.1675,16,2.964121
-0.025,4,2.96456
0.985,2,2.96478
-0.0475,5,2.966843
-0.02,3,2.972519
-0.06,7,2.973408
0.9375,10,2.979352
-0.02,3,2.981266
-0.065,10,2.986965
0.8675,14,2.989282
0.9525,7,2.993926
-0.0675,6,2.997156
-0.0125,1,2.997405
0.9875,1,2.997714
0.91,9,3.002854
0.9125,9,3.005455
0.615,39,3.021296
0.87,12,3.027037
-0.2975,32,3.037029
0.95,8,3.040172
0.975,3,3.040628
-0.3525,36,3.056035
0.975,2,3.056453
-0.01,1,3.057983
0.87,13,3.064119
0.9925,1,3.064857
0.8225,19,3.071231
0.945,7,3.074119
-0.085,9,3.079812
-0.025,4,3.080378
-0.0275,8,3.085011
0.9,8,3.087582
-0.0925,13,3.093343
-0.02,2,3.093781
0.8125,19,3.09931
0.965,5,3.105721
0.995,1,3.106183
0.96,3,3.106639
0.875,13,3.112341
-0.015,2,3.11401
-0.215,20,3.120738
-0.1075,9,3.125669
-0.0125,1,3.126019
-0.0425,5,3.127914
0.9825,2,3.128278
0.9875,1,3.128472
0.86,13,3.134514
0.9425,6,3.136819
-0.1,11,3.142227
0.865,14,3.147515
0.9175,6,3.148365
