#{"t_start": 1780697055.7352798, "env_id": "None"}
r,l,t
0.9575,5,0.016329
-0.0125,1,0.016329
0.845,14,0.016329
0.9075,8,0.021827
0.9225,9,0.030591
0.9,10,0.033956
0.9575,3,0.038176
-0.025,3,0.038176
-0.0075,2,0.04671
0.815,16,0.055061
0.825,18,0.062932
0.975,3,0.063924
-0.07,8,0.063924
0.7775,23,0.078838
0.945,5,0.081761
0.9075,8,0.084274
0.9825,3,0.084274
0.9625,5,0.08832
-0.06,7,0.08832
-0.03,3,0.08832
0.9775,3,0.095331
-0.0225,2,0.095331
0.9075,9,0.102232
0.905,10,0.105308
-0.025,3,0.110852
0.8425,17,0.113894
0.9075,8,0.118844
-0.0175,1,0.120234
0.4625,55,0.138313
0.9325,5,0.138313
-0.01,1,0.139725
0.8125,20,0.145652
0.875,13,0.153009
0.935,7,0.154514
-0.0225,3,0.156851
-0.16,14,0.164207
-0.005,3,0.166397
0.98,2,0.16841
0.975,2,0.168939
-0.055,5,0.168939
0.965,4,0.172822
0.975,3,0.172822
-0.015,1,0.173849
-0.005,1,0.173849
0.9525,3,0.179866
0.895,10,0.184033
0.955,4,0.184033
0.6525,36,0.200055
0.945,4,0.204192
0.955,4,0.206366
-0.0075,1,0.206366
0.9825,1,0.210055
0.0,1,0.214236
-0.025,4,0.218383
0.845,15,0.224185
-0.2425,23,0.239528
0.815,18,0.255547
-0.09,11,0.259921
0.99,1,0.26089
0.0,1,0.262337
0.715,28,0.274043
0.72,26,0.288194
0.9675,5,0.290233
-0.0325,5,0.29826
0.985,1,0.302117
0.8925,9,0.306976
0.9875,1,0.306976
0.945,5,0.312386
-0.025,2,0.316732
0.8425,20,0.321948
0.86,12,0.328372
0.9575,4,0.330484
0.805,18,0.339863
-0.09,12,0.346932
0.95,5,0.349273
0.9075,8,0.35127
0.9825,1,0.353959
-0.01,1,0.353959
-0.3375,33,0.372123
0.915,6,0.372123
0.8675,10,0.381639
0.9575,5,0.384123
0.98,2,0.385133
-0.01,1,0.386138
0.75,22,0.398278
0.98,2,0.399678
0.8825,11,0.399678
0.865,12,0.403998
0.9175,7,0.411773
0.965,3,0.414161
-0.01,2,0.414783
0.9125,7,0.41691
0.8875,11,0.423991
-0.0125,1,0.423991
-0.0575,7,0.432074
0.9375,8,0.434152
-0.125,12,0.439156
0.905,8,0.442139
-0.0025,1,0.443833
-0.0625,8,0.446728
0.9825,2,0.4492
-0.15,20,0.453922
-0.05,5,0.453922
0.885,11,0.455965
-0.07,6,0.462967
0.9625,6,0.466477
-0.1275,13,0.469712
0.99,3,0.470732
0.7775,23,0.476969
-0.035,3,0.476969
0.9575,4,0.479336
0.985,1,0.479336
-0.255,26,0.486554
0.965,4,0.486554
0.8575,15,0.491873
-0.025,2,0.492677
0.89,13,0.500598
0.905,9,0.502113
0.96,4,0.503129
0.81,15,0.52067
-0.0275,3,0.5311
0.9425,8,0.545671
0.5775,44,0.642781
0.9375,5,0.656078
0.7075,28,0.724003
0.9525,5,0.735976
-0.165,20,0.782105
0.9125,9,0.800405
0.93,7,0.815525
0.9725,2,0.822043
0.615,34,0.890289
-0.1175,13,0.915166
-0.115,13,0.938838
0.8775,10,0.954628
0.8275,15,0.994521
-0.12,10,1.005529
-0.015,2,1.015228
-0.025,2,1.015228
0.94,5,1.036636
0.9625,6,1.047281
0.89,8,1.068088
-0.025,2,1.073854
0.975,3,1.077062
0.97,4,1.084558
0.935,7,1.107572
0.9025,10,1.132986
0.96,4,1.13837
0.9575,3,1.140166
0.945,6,1.164602
-0.035,6,1.185161
-0.1025,10,1.204577
-0.03,5,1.217485
0.92,6,1.240125
0.9225,8,1.260019
-0.1475,14,1.288117
-0.125,11,1.314356
-0.42,41,1.402792
0.9525,4,1.41034
-0.0325,2,1.417485
