#{"t_start": 1780590906.8831494, "env_id": "None"}
r,l,t
0.94,5,0.012774
-0.0075,1,0.013671
0.885,14,0.021633
0.9275,8,0.026068
0.5275,46,0.049026
0.775,20,0.061454
0.9725,3,0.063562
-0.27,27,0.083421
-0.0475,4,0.086682
0.97,5,0.090813
0.915,8,0.099217
0.96,3,0.102248
-0.2075,18,0.116163
0.8625,15,0.126756
0.8875,10,0.133942
0.8775,16,0.145535
-0.055,4,0.148202
0.925,8,0.153169
-0.015,1,0.154001
-0.2725,27,0.175474
-0.055,6,0.179455
-0.0075,2,0.181039
-0.175,17,0.192689
-0.0075,2,0.194145
0.975,2,0.195695
-0.0075,1,0.196484
0.7775,21,0.210833
0.8075,18,0.222855
0.9925,1,0.223544
-0.0275,2,0.22454
-0.0025,1,0.22507
0.7975,22,0.234915
0.9475,6,0.237543
0.93,8,0.240914
-0.0125,1,0.241512
-0.0075,1,0.242058
0.965,3,0.243468
-0.045,7,0.246417
-0.0175,2,0.247328
0.965,4,0.249334
0.79,20,0.257893
-0.0225,2,0.258875
0.885,12,0.263858
0.915,9,0.267897
-0.0075,1,0.268437
0.9875,1,0.268969
-0.0175,1,0.269481
0.6525,38,0.28716
0.8075,18,0.295474
0.9525,5,0.299229
0.8525,13,0.306724
0.9775,2,0.308239
0.7025,30,0.329163
-0.13,15,0.337255
0.93,7,0.34189
0.885,13,0.347577
0.92,9,0.352893
0.9875,1,0.353651
0.9625,5,0.356848
-0.025,2,0.35837
0.8225,17,0.368229
0.985,2,0.369233
0.88,12,0.376657
0.955,4,0.380054
-0.03,3,0.381902
0.94,10,0.387512
0.815,22,0.403007
0.9225,8,0.411374
0.9825,1,0.41217
-0.01,1,0.412873
-0.14,13,0.420201
0.7775,22,0.429849
-0.0275,3,0.431233
0.915,10,0.436004
0.95,5,0.438358
0.9775,2,0.439296
-0.005,1,0.439822
0.84,15,0.445887
0.9625,3,0.447447
0.985,2,0.448921
0.975,2,0.452221
-0.2,22,0.465251
0.985,1,0.46589
0.9025,11,0.473385
0.8875,12,0.478878
0.91,9,0.484288
-0.005,1,0.484885
0.8225,16,0.491832
0.8975,12,0.499395
0.93,8,0.502981
-0.015,1,0.503537
0.8175,18,0.511173
-0.01,1,0.511751
0.8875,9,0.515953
0.95,7,0.519013
0.8875,9,0.525236
0.9875,1,0.525852
0.8525,13,0.531935
-0.1275,13,0.537348
0.98,3,0.538734
0.84,14,0.546043
0.975,3,0.547884
-0.02,2,0.549531
0.99,1,0.550599
0.965,3,0.552078
0.94,4,0.556066
0.99,1,0.556926
-0.0825,9,0.562209
0.86,16,0.571237
0.9625,4,0.573213
-0.0625,7,0.577716
0.9,10,0.583437
0.7475,23,0.597303
0.945,4,0.599589
0.9125,8,0.603184
0.9475,6,0.607013
-0.0275,3,0.609017
-0.0875,12,0.937732
0.97,2,0.939454
0.6125,37,0.967117
0.9575,5,0.970723
-0.0375,7,0.977217
-0.035,5,0.982402
-0.325,26,1.003387
0.835,14,1.017092
0.9125,9,1.025791
-0.0225,3,1.028088
