#{"t_start": 1780697294.9244785, "env_id": "None"}
r,l,t
0.94,5,0.136689
-0.0075,1,0.140597
0.885,14,0.156327
0.9275,8,0.166468
0.5275,46,0.224315
0.775,20,0.248791
0.9725,3,0.252382
-0.27,27,0.322326
-0.0475,4,0.344605
0.97,5,0.356429
0.915,8,0.390796
0.96,3,0.400881
-0.2075,18,0.444649
0.8625,15,0.46715
0.8875,10,0.475266
0.8775,16,0.494601
-0.055,4,0.500164
0.925,8,0.507177
-0.015,1,0.508214
-0.2725,27,0.538422
-0.055,6,0.543421
-0.0075,2,0.544951
-0.175,17,0.563243
-0.0075,2,0.564352
0.975,2,0.566723
-0.0075,1,0.566723
0.7775,21,0.587203
0.8075,18,0.604497
0.9925,1,0.610136
-0.0275,2,0.610136
-0.0025,1,0.614367
0.7975,22,0.634647
0.9475,6,0.634647
0.93,8,0.644765
-0.0125,1,0.649046
-0.0075,1,0.65024
0.965,3,0.654602
-0.045,7,0.654602
-0.0175,2,0.661261
0.965,4,0.666131
0.79,20,0.683116
-0.0225,2,0.684665
0.885,12,0.692429
0.915,9,0.699882
-0.0075,1,0.699882
0.9875,1,0.699882
-0.0175,1,0.699882
0.6525,38,0.739455
0.8075,18,0.752444
0.9525,5,0.754503
0.8525,13,0.7703
0.9775,2,0.7703
0.7025,30,0.796662
-0.13,15,0.808628
0.93,7,0.812144
0.885,13,0.822221
0.92,9,0.83082
0.9875,1,0.836118
0.9625,5,0.841934
-0.025,2,0.844524
0.8225,17,0.859828
0.985,2,0.859828
0.88,12,0.872758
0.955,4,0.874335
-0.03,3,0.874335
0.94,10,0.884458
0.815,22,0.902487
0.9225,8,0.904563
0.9825,1,0.904563
-0.01,1,0.910418
-0.14,13,0.922404
0.7775,22,0.939572
-0.0275,3,0.942595
0.915,10,0.952101
0.95,5,0.954668
0.9775,2,0.954668
-0.005,1,0.954668
0.84,15,0.968715
0.9625,3,0.968715
0.985,2,0.972279
0.975,2,0.974352
-0.2,22,1.000156
0.985,1,1.000156
0.9025,11,1.006512
0.8875,12,1.016803
0.91,9,1.024673
-0.005,1,1.024673
0.8225,16,1.042192
0.8975,12,1.052263
0.93,8,1.058934
-0.015,1,1.058934
0.8175,18,1.07259
-0.01,1,1.074599
0.8875,9,1.078702
0.95,7,1.086491
0.8875,9,1.0948
0.9875,1,1.0948
0.8525,13,1.108701
-0.1275,13,1.119675
0.98,3,1.1222
0.84,14,1.134765
0.975,3,1.134765
-0.02,2,1.139726
