#{"t_start": 1780589637.7373316, "env_id": "None"}
r,l,t
0.9575,5,0.089947
-0.0125,1,0.090447
0.845,14,0.092539
0.9075,8,0.093528
0.9225,9,0.09603
0.9,10,0.096652
0.9575,3,0.097402
-0.025,3,0.097905
-0.0075,2,0.099855
0.815,16,0.101621
0.825,18,0.103609
0.975,3,0.104002
-0.07,8,0.106505
0.7775,23,0.109488
0.945,5,0.110231
0.9075,8,0.11117
0.9825,3,0.113033
0.9625,5,0.113697
-0.06,7,0.11458
-0.03,3,0.114979
0.9775,3,0.117144
-0.0225,2,0.117568
0.9075,9,0.118703
0.905,10,0.119959
-0.025,3,0.122091
0.8425,17,0.125021
0.9075,8,0.126041
-0.0175,1,0.126229
0.4625,55,0.133902
0.9325,5,0.134613
-0.01,1,0.13481
0.8125,20,0.137093
0.875,13,0.14109
0.935,7,0.142335
-0.0225,3,0.142807
-0.16,14,0.144754
-0.005,3,0.147058
0.98,2,0.147473
0.975,2,0.147764
-0.055,5,0.148716
0.965,4,0.151268
0.975,3,0.151995
-0.015,1,0.152244
-0.005,1,0.152469
0.9525,3,0.154262
0.895,10,0.155806
0.955,4,0.156401
0.6525,36,0.161156
0.945,4,0.163805
0.955,4,0.16418
-0.0075,1,0.164288
0.9825,1,0.164386
0.0,1,0.166344
-0.025,4,0.167405
0.845,15,0.169695
-0.2425,23,0.172265
0.815,18,0.1757
-0.09,11,0.177162
0.99,1,0.177407
0.0,1,0.177684
0.715,28,0.18345
0.72,26,0.186843
0.9675,5,0.18779
-0.0325,5,0.188544
0.985,1,0.190132
0.8925,9,0.191859
0.9875,1,0.192174
0.945,5,0.192922
-0.025,2,0.194709
0.8425,20,0.197248
0.86,12,0.198687
0.9575,4,0.199192
0.805,18,0.203991
-0.09,12,0.205739
0.95,5,0.206578
0.9075,8,0.20834
0.9825,1,0.209625
-0.01,1,0.210457
-0.3375,33,0.21422
0.915,6,0.214963
0.8675,10,0.218446
0.9575,5,0.219184
0.98,2,0.219496
-0.01,1,0.219706
0.75,22,0.223413
0.98,2,0.223623
0.8825,11,0.225284
0.865,12,0.226841
0.9175,7,0.229795
0.965,3,0.230057
-0.01,2,0.23022
0.9125,7,0.230674
0.8875,11,0.232937
-0.0125,1,0.233087
-0.0575,7,0.233947
0.9375,8,0.235129
-0.125,12,0.239013
0.905,8,0.240021
-0.0025,1,0.240401
-0.0625,8,0.241307
0.9825,2,0.243779
-0.15,20,0.246381
-0.05,5,0.24715
0.885,11,0.249182
-0.07,6,0.251421
0.9625,6,0.25223
-0.1275,13,0.253735
0.99,3,0.254143
0.7775,23,0.258122
-0.035,3,0.258625
0.9575,4,0.259101
0.985,1,0.259274
-0.255,26,0.26462
0.965,4,0.265087
0.8575,15,0.266873
-0.025,2,0.267184
0.89,13,0.269825
0.905,9,0.271034
0.96,4,0.271812
0.81,15,0.274166
-0.0275,3,0.276434
0.7325,31,0.279966
0.78,21,0.282169
0.95,5,0.282822
-0.405,40,0.289858
0.76,24,0.292498
-0.025,3,0.292994
-0.0125,1,0.293179
0.985,1,0.294458
0.9725,2,0.295184
-0.1575,13,0.297117
0.775,22,0.299674
-0.0075,1,0.30221
-0.01,1,0.303066
0.805,21,0.305743
0.8775,10,0.307092
0.9025,9,0.309922
0.805,16,0.312437
-0.0175,2,0.312874
-0.0075,2,0.31316
0.9425,5,0.315088
0.9275,6,0.315714
0.95,5,0.317391
0.9575,5,0.318359
0.9675,3,0.320832
0.98,4,0.321689
0.93,7,0.322631
0.8775,10,0.324139
0.96,4,0.326377
0.985,3,0.326647
-0.05,6,0.327118
-0.0475,6,0.327866
-0.045,4,0.329692
-0.005,1,0.329868
0.905,9,0.330685
0.9425,6,0.331794
-0.06,6,0.334038
0.99,1,0.334408
0.86,14,0.336417
-0.14,11,0.337853
-0.0225,3,0.339637
0.83,19,0.340887
-0.11,9,0.342733
-0.0975,8,0.343705
0.9675,3,0.345451
0.9,12,0.346316
0.975,4,0.347686
-0.005,1,0.348196
0.7225,25,0.353119
0.8675,11,0.355067
0.8875,15,0.357047
0.9625,4,0.357713
0.915,8,0.361301
-0.0375,5,0.362146
0.8475,20,0.364909
0.9925,2,0.365294
-0.025,2,0.367108
0.91,9,0.368126
-0.0525,6,0.368803
0.975,2,0.369172
-0.025,3,0.371043
0.9625,6,0.371889
-0.105,14,0.373481
0.9725,2,0.373816
0.8675,12,0.377193
0.0,1,0.377862
0.8825,11,0.37943
0.9125,8,0.380482
0.9725,4,0.382306
0.6,42,0.3871
-0.02,1,0.387403
0.9575,3,0.387848
0.8975,10,0.391751
-0.11,11,0.39329
